timestamp,vehicle_id,speed_kmph,soc,motor_temp_c,lat,lon,state
2026-08-29T06:00:00-05:00,SCT-001,0.0,87.4,35.0,12.9716,77.5946,idle
2026-08-29T06:02:00-05:00,SCT-001,0.0,87.4,34.9,12.9716,77.5946,idle
2026-08-29T06:06:00-05:00,SCT-001,0.0,87.4,34.7,12.9716,77.5946,idle
2026-08-29T06:09:00-05:00,SCT-001,0.0,87.4,34.7,12.9716,77.5946,idle
2026-08-29T06:13:00-05:00,SCT-001,0.0,87.4,34.7,12.9716,77.5946,idle
2026-08-29T06:16:00-05:00,SCT-001,0.0,87.3,34.7,12.9716,77.5946,idle
2026-08-29T06:17:00-05:00,SCT-001,0.0,87.3,34.6,12.9716,77.5946,idle
2026-08-29T06:22:00-05:00,SCT-001,0.0,87.3,34.5,12.9716,77.5946,idle
2026-08-29T06:25:00-05:00,SCT-001,0.0,87.3,34.4,12.9716,77.5946,idle
2026-08-29T06:27:00-05:00,SCT-001,0.0,87.2,34.4,12.9716,77.5946,idle
2026-08-29T06:31:00-05:00,SCT-001,0.0,87.2,34.3,12.9716,77.5946,idle
2026-08-29T06:34:00-05:00,SCT-001,0.0,87.2,34.2,12.9716,77.5946,idle
2026-08-29T06:35:00-05:00,SCT-001,0.0,87.2,34.2,12.9716,77.5946,idle
2026-08-29T06:38:00-05:00,SCT-001,0.0,87.2,34.1,12.9716,77.5946,idle
2026-08-29T06:40:00-05:00,SCT-001,0.0,87.2,34.1,12.9716,77.5946,idle
2026-08-29T06:43:00-05:00,SCT-001,0.0,87.2,33.9,12.9716,77.5946,idle
2026-08-29T06:45:00-05:00,SCT-001,0.0,87.2,33.9,12.9716,77.5946,idle
2026-08-29T06:49:00-05:00,SCT-001,0.0,87.2,33.8,12.9716,77.5946,idle
2026-08-29T06:53:00-05:00,SCT-001,0.0,87.1,33.8,12.9716,77.5946,idle
2026-08-29T06:58:00-05:00,SCT-001,0.0,87.1,33.7,12.9716,77.5946,idle
2026-08-29T07:01:00-05:00,SCT-001,0.0,87.1,33.6,12.9716,77.5946,idle
2026-08-29T07:06:00-05:00,SCT-001,0.0,87.1,33.5,12.9716,77.5946,idle
